,Model,# of CPU Cores,# of Threads,Graphics Core Count,Base Clock(GHz),Max. Boost Clock (GHz),All Core Boost Speed (GHz),L1 Cache (KB),L2 Cache(MB),L3 Cache(MB),1kU Pricing(USD),PCI Express® Version,Default TDP(W),Max. Operating Temperature (Tjmax(°C)),System Memory Specification(MHz),Memory Channels,Memory Channels,Graphics Frequency(MHz),GPU Base(MHz)
on,AMD Athlon™ Silver 3050U,2,2,2,2.3,3.2,0,192,1,4,,3,15,95,2400,2,,1100,
on,AMD Athlon™ Silver 3050e,2,4,3,1.4,2.8,0,0,1,4,,3,6,,2400,2,,1000,
on,AMD Athlon™ Gold 3150C,2,4,3,2.4,3.3,0,192,1,4,,,15,95,,,,1100,
on,AMD Athlon™  Silver 3050C,2,2,2,2.3,3.2,0,192,1,4,,,15,95,,,,1100,
on,AMD Athlon™ Gold 3150GE (OEM Only),4,4,3,3.3,3.8,0,384,2,4,,3,35,95,2933,2,,1100,
on,AMD 3020e,2,2,3,1.2,2.6,0,0,1,4,,3,6,,2400,2,,1000,
on,AMD Athlon™ Gold 3150G (OEM Only),4,4,3,3.5,3.9,0,384,2,4,,3,65,95,2933,2,,1100,
on,AMD Athlon™ Silver 3050GE (OEM Only),2,4,3,3.4,3.4,0,192,1,4,,3,35,95,2667,2,,1100,
on,AMD 3015e,2,4,3,1.2,2.3,0,0,1,4,,3,6,105,1600,1,,600,
on,AMD 3015Ce,2,4,3,1.2,2.3,0,0,1,4,,3,6,105,1600,1,,600,
on,AMD Ryzen™ Threadripper™ 2990WX,32,64,0,3,4.2,0,3072,16,64,,3,250,68,2933,4,,,
on,AMD Ryzen™ Threadripper™ 2970WX,24,48,0,3,4.2,0,2304,12,64,,3,250,68,2933,4,,,
on,AMD Ryzen™ Threadripper™ 2950X,16,32,0,3.5,4.4,0,1536,8,32,,3,180,68,2933,4,,,
on,AMD Ryzen™ Threadripper™ 2920X,12,24,0,3.5,4.3,0,1152,6,32,,3,180,68,2933,4,,,
on,AMD Ryzen™ 7 2700X,8,16,0,3.7,4.3,0,768,4,16,,3,105,85,2933,2,,,
on,AMD Ryzen™ 7 2700,8,16,0,3.2,4.1,0,768,4,16,,3,65,95,2933,2,,,
on,AMD Ryzen™ 7 2700E Processor,8,16,0,2.8,4,0,768,4,16,,3,45,95,2667,2,,,
on,AMD Ryzen™ 5 2600X,6,12,0,3.6,4.2,0,576,3,16,,3,95,95,2933,2,,,
on,AMD Ryzen™ 5 2600,6,12,0,3.4,3.9,0,576,3,16,,3,65,95,2933,2,,,
on,AMD Ryzen™ 5 2600E,6,12,0,3.1,4,0,578,3,16,,3,45,95,2667,2,,,
on,AMD Ryzen™ 5 2500X,4,8,0,3.6,4,0,384,2,8,,3,65,95,2933,2,,,
on,AMD Ryzen™ 5 2400G with Radeon™ RX Vega 11 Graphics,4,8,11,3.6,3.9,0,384,2,4,, 3.0 x8,65,95,2933,2,,1250,
on,AMD Ryzen™ 5 2400GE with Radeon™ RX Vega 11 Graphics,4,8,11,3.2,3.8,0,384,2,4,, 3.0 x8,35,95,2933,2,,1250,
on,AMD Ryzen™ 3 2300X,4,4,0,3.5,4,0,384,2,8,,3,65,95,2933,2,,,
on,AMD Ryzen™ 3 2200G with Radeon™ Vega 8 Graphics,4,4,8,3.5,3.7,0,384,2,4,, 3.0 x8,65,95,2933,2,,1100,
on,AMD Ryzen™ 9 PRO 6950H,8,16,12,3.3,4.9,0,384,4,16,,4,45,95,,2,,2400,
on,AMD Ryzen™ 9 PRO 6950HS,8,16,12,3.3,4.9,0,512,4,16,,4,35,94.99,,2,,2400,
on,AMD Ryzen™ 7 PRO 6860Z,8,16,12,2.7,4.75,0,512,4,16,,4,28,95,,2,,2200,
on,AMD Ryzen™ 3 2200GE with Radeon™ Vega 8 Graphics,4,4,8,3.2,3.6,0,384,2,4,, 3.0 x8,35,95,2933,2,,1100,
on,AMD Ryzen™ 7 2800H,4,8,11,3.3,3.8,0,192,2,4,,3,45,95,3200,2,,1300,
on,AMD Ryzen™ 5 2600H,4,8,8,3.2,3.6,0,192,2,4,,3,45,95,3200,2,,1100,
on,AMD Ryzen™ 7 PRO 6850H,8,16,12,3.2,4.7,0,512,4,16,,4,45,95,,2,,2200,
on,AMD Ryzen™ 7 2700U,4,8,10,2.2,3.8,0,384,2,4,,3,15,95,2400,2,,1300,
on,AMD Ryzen™ 7 PRO 6850HS,8,16,12,3.2,4.7,0,512,4,16,,4,35,95,,2,,2200,
on,AMD Ryzen™ 5 2500U,4,8,8,2,3.6,0,384,2,4,,3,15,95,2400,2,,1100,
on,AMD Ryzen™ 3 2300U,4,4,6,2,3.4,0,384,2,4,,3,15,95,2400,2,,1100,
on,AMD Ryzen™ 7 PRO 6850U,8,16,12,2.7,4.7,0,512,4,16,,4,,95,,2,,2200,
on,AMD Ryzen™ 3 2200U,2,4,3,2.5,3.4,0,384,1,4,,3,15,95,2400,2,,1100,
on,AMD Ryzen™ 5 PRO 6650H,6,12,6,3.3,4.5,0,384,3,16,,4,45,95,,2,,1900,
on,AMD Ryzen™ Threadripper™ 1950X,16,32,0,3.4,4,0,1536,8,32,,3,180,68,2667,4,,,
on,AMD Ryzen™ Threadripper™ 1920X,12,24,0,3.5,4,0,1152,6,32,,3,180,68,2667,4,,,
on,AMD Ryzen™ Threadripper™ 1900X,8,16,0,3.8,4,0,768,4,16,,3,180,68,2667,4,,,
on,AMD Ryzen™ 5 PRO 6650HS,6,12,6,3.3,4.5,0,384,3,16,,4,35,95,,2,,1900,
on,AMD Ryzen™ 7 1800X,8,16,0,3.6,4,0,768,4,16,,3,95,95,2667,2,,,
on,AMD Ryzen™ 5 PRO 5645,6,12,0,3.7,4.6,0,768,3,32,,4,65,95,3200,2,,,
on,AMD Ryzen™ 5 PRO 5650G,6,12,7,3.9,4.4,0,0,3,16,,3,65,95,3200,2,,1900,
on,AMD Ryzen™ 5 PRO 5650GE,6,12,7,3.4,4.4,0,0,3,16,,3,35,95,3200,2,,1900,
on,AMD Ryzen™ 5 PRO 6650U,6,12,6,2.9,4.5,0,384,3,16,,4,,95,,2,,1900,
on,AMD Ryzen™ 7 1700X,8,16,0,3.4,3.8,0,768,4,16,,3,95,95,2667,2,,,
on,AMD Ryzen™ 9 PRO 3900,12,24,0,3.1,4.3,0,768,6,64,,4,65,95,3200,2,,,
on,AMD Ryzen™ 7 PRO 3700,8,16,0,3.6,4.4,0,512,4,32,,4,65,95,3200,2,,,
on,AMD Ryzen™ 5 PRO 4655G,6,12,7,3.7,4.2,0,384,3,8,,3,65,95,3200,2,,1900,
on,AMD Ryzen™ 7 1700 Processor,8,16,0,3,3.7,0,768,4,16,,3,65,95,2667,2,,,
on,AMD Ryzen™ 7 PRO 5875U,8,16,8,2,4.5,0,512,4,16,,3,15,95,,2,,2000,
on,AMD Ryzen™ 7 PRO 5845,8,16,0,3.4,4.6,0,512,4,32,,4,65,95,3200,2,,,
on,AMD Ryzen™ 7 PRO 5850U,8,16,8,1.9,4.4,0,0,4,16,,3,15,105,3200/4266,,,2000,
on,AMD Ryzen™ 5 PRO 5675U,6,12,7,2.3,4.3,0,384,3,16,,3,15,95,,2,,1800,
on,AMD Ryzen™ 5 PRO 5650U,6,12,7,2.3,4.2,0,0,3,16,,3,15,105,3200/4266,,,1800,
on,AMD Ryzen™ 7 PRO 5750G,8,16,8,3.8,4.6,0,0,4,16,,3,65,95,3200,2,,2000,
on,AMD Ryzen™ 3 PRO 5475U,4,8,6,2.7,4.1,0,256,2,8,,3,15,95,,2,,1600,
on,AMD Ryzen™ 3 PRO 5450U,4,8,6,2.6,4,0,0,2,8,,3,15,105,3200/4266,,,1600,
on,AMD Ryzen™ 7 PRO 5750GE,8,16,8,3.2,4.6,0,0,4,16,,3,35,95,3200,2,,2000,
on,AMD Ryzen™ 3 PRO 5350G,4,8,6,4,4.2,0,0,2,8,,3,65,95,3200,2,,1700,
on,AMD Ryzen™ 7 PRO 4750G,8,16,8,3.6,4.4,0,512,4,8,,3,65,95,3200,2,,2100,
on,AMD Ryzen™ 5 1600X,6,12,0,3.6,4,0,576,3,16,,3,95,95,2667,2,,,
on,AMD Ryzen™ 3 PRO 5350GE,4,8,6,3.6,4.2,0,0,2,8,,3,35,95,3200,2,,1700,
on,AMD Ryzen™ 5 PRO 4655GE,6,12,7,3.3,4.2,0,384,3,8,,3,35,95,3200,2,,1900,
