0,Model,# of CPU Cores,# of Threads,Graphics Core Count,Base Clock(GHz),Max. Boost Clock (GHz),All Core Boost Speed (GHz),L1 Cache (KB),L2 Cache(MB),L3 Cache(MB),1kU Pricing(USD),PCI Express® Version,Default TDP(W),Max. Operating Temperature (Tjmax(°C)),System Memory Specification(MHz),Memory Channels,Memory Channels,Graphics Frequency(MHz),GPU Base(MHz)
on,AMD Ryzen™ 7 3800XT,8,16,0,3.9,4.7,0,0,4,32,0,4,105,95,3200,0,0,0,0
on,AMD Ryzen™ 9 6900HS​,8,16,12,3.3,4.9,0,512,4,16,0,4,35,95,0,2,0,2400,0
on,AMD Ryzen™ 5 5500,6,12,0,3.6,4.2,0,384,3,16,0,3,65,90,3200,2,0,0,0
on,AMD Ryzen™ 7 7736U​,8,16,12,2.7,4.7,0,512,4,16,0,4,0,95,0,2,0,2200,0
on,AMD Ryzen™ 5 4500,6,12,0,3.6,4.1,0,384,3,8,0,3,65,95,3200,2,0,0,0
on,AMD Ryzen™ 7 6800H,8,16,12,3.2,4.7,0,512,4,16,0,4,45,95,0,2,0,2200,0
on,AMD Ryzen™ 7 6800HS,8,16,12,3.2,4.7,0,512,4,16,0,4,35,95,0,2,0,2200,0
on,AMD Ryzen™ 5 3600XT,6,12,0,3.8,4.5,0,0,3,32,0,4,95,95,3200,0,0,0,0
on,AMD Ryzen™ Threadripper™ PRO 3995WX,64,128,0,2.7,4.2,0,4096,32,256,0,4,280,90,3200,8,0,0,0
on,AMD Ryzen™ 7 6800U​,8,16,12,2.7,4.7,0,512,4,16,0,4,0,95,0,2,0,2200,0
on,AMD Ryzen™ Threadripper™ PRO 3975WX,32,64,0,3.5,4.2,0,2048,16,128,0,4,280,90,3200,8,0,0,0
on,AMD Ryzen™ 5 6600H,6,12,6,3.3,4.5,0,384,3,16,0,4,45,95,0,2,0,1900,0
on,AMD Ryzen™ Threadripper™ PRO 3955WX,16,32,0,3.9,4.3,0,1024,8,64,0,4,280,90,3200,8,0,0,0
on,AMD Ryzen™ Threadripper™ PRO 3945WX,12,24,0,4,4.3,0,768,6,64,0,4,280,90,3200,8,0,0,0
on,AMD Ryzen™ 5 6600HS​,6,12,6,3.3,4.5,0,384,3,16,0,4,35,95,0,2,0,1900,0
on,AMD Ryzen™ Threadripper™ 3990X,64,128,0,2.9,4.3,0,4096,32,256,0,4,280,95,0,4,0,0,0
on,AMD Ryzen™ 9 5980HX,8,16,8,3.3,4.8,0,0,4,16,0,3,45,105,0,0,0,2100,0
on,AMD Ryzen™ 9 5980HS,8,16,8,3,4.8,0,0,4,16,0,3,35,105,0,0,0,2100,0
on,AMD Ryzen™ 9 5900HX,8,16,8,3.3,4.6,0,0,4,16,0,3,45,105,0,0,0,2100,0
on,AMD Ryzen™ Threadripper™ 3970X,32,64,0,3.7,4.5,0,2048,16,128,0,4,280,95,3200,4,0,0,0
on,AMD Ryzen™ 5 6600U,6,12,6,2.9,4.5,0,384,3,16,0,4,0,95,0,2,0,1900,0
on,AMD Ryzen™ 7 5825U,8,16,8,2,4.5,0,512,4,16,0,3,15,95,0,2,0,2000,0
on,AMD Ryzen™ 9 5900HS,8,16,0,3,4.6,0,8,4,16,0,3,35,105,0,0,0,2100,0
on,AMD Ryzen™ 7 5825C,8,16,8,2,4.5,0,512,4,16,0,3,15,95,0,2,0,0,0
on,AMD Ryzen™ Threadripper™ 3960X,24,48,0,3.8,4.5,0,1536,12,128,0,4,280,95,3200,4,0,0,0
on,AMD Ryzen™ 7 5800H,8,16,8,3.2,4.4,0,0,4,16,0,3,45,105,0,0,0,2000,0
on,AMD Ryzen™ 5 5625U,6,12,7,2.3,4.3,0,384,3,16,0,3,15,95,0,2,0,1800,0
on,AMD Ryzen™ 7 5800HS,8,16,8,2.8,4.4,0,0,4,16,0,3,35,105,0,0,0,2000,0
on,AMD Ryzen™ 5 5625C,6,12,7,2.3,4.3,0,384,3,16,0,3,15,95,0,2,0,0,0
on,AMD Ryzen™ 9 3950X,16,32,0,3.5,4.7,0,1024,8,64,0,4,105,95,0,2,0,0,0
on,AMD Ryzen™ 5 5600H,6,12,7,3.3,4.2,0,0,3,16,0,3,45,105,0,0,0,1800,0
on,AMD Ryzen™ 5 5600HS,6,12,7,3,4.2,0,0,3,16,0,3,35,105,0,0,0,1800,0
on,AMD Ryzen™ 9 3900X,12,24,0,3.8,4.6,0,768,6,64,0,4,105,95,3200,2,0,0,0
on,AMD Ryzen™ 7 5800U,8,16,8,1.9,4.4,0,0,4,16,0,3,15,105,0,0,0,2000,0
on,AMD Ryzen™ 7 5700U,8,16,8,1.8,4.3,0,0,4,8,0,3,15,105,0,0,0,1900,0
on,AMD Ryzen™ 9 3900 Processor (OEM Only),12,24,0,3.1,4.3,0,768,6,64,0,4,65,95,3200,2,0,0,0
on,AMD Ryzen™ 5 5600U,6,12,7,2.3,4.2,0,0,3,16,0,3,15,105,0,0,0,1800,0
on,AMD Ryzen™ 3 5425U,4,8,6,2.7,4.1,0,256,2,8,0,3,15,95,0,2,0,1600,0
on,AMD Ryzen™ 5 5560U,6,12,6,2.3,4,0,384,3,8,0,3,15,105,0,2,0,1600,0
on,AMD Ryzen™ 5 5500U,6,12,7,2.1,4,0,0,3,8,0,3,15,105,0,0,0,1800,0
on,AMD Ryzen™ 3 5425C,4,8,6,2.7,4.1,0,256,2,8,0,3,15,95,0,2,0,0,0
on,AMD Ryzen™ 3 5400U,4,8,6,2.6,4,0,0,2,8,0,3,15,105,0,0,0,1600,0
on,AMD Ryzen™ 7 3800X,8,16,0,3.9,4.5,0,512,4,32,0,4,105,95,3200,2,0,0,0
on,AMD Ryzen™ 3 5300U,4,8,6,2.6,3.8,0,0,2,4,0,3,15,105,0,0,0,1500,0
on,AMD Ryzen™ 7 3700X,8,16,0,3.6,4.4,0,512,4,32,0,4,65,95,3200,2,0,0,0
on,AMD Ryzen™ 7 5700G,8,16,8,3.8,4.6,0,0,4,16,0,3,65,95,3200,2,0,2000,0
on,AMD Ryzen™ 7 5700GE,8,16,8,3.2,4.6,0,0,4,16,0,3,35,95,3200,2,0,2000,0
on,AMD Ryzen™ 3 4100,4,8,0,3.8,4,0,256,2,4,0,3,65,95,3200,2,0,0,0
on,AMD Ryzen™ 3 5125C,2,4,3,3,3,0,128,1,8,0,3,15,95,0,2,0,0,0
on,AMD Ryzen™ 5 3600X,6,12,0,3.8,4.4,0,384,3,32,0,4,95,95,3200,2,0,0,0
on,AMD Ryzen™ 5 5600G,6,12,7,3.9,4.4,0,0,3,16,0,3,65,95,3200,2,0,1900,0
on,AMD Ryzen™ 5 5600GE,6,12,7,3.4,4.4,0,0,3,16,0,3,35,95,3200,2,0,1900,0
